Time resolution is 1 ps
Time=25000 ps: PC=0x0002, Instr=0x3087, $1=0x0005, $2=0x0000, $3=0x0000, RegWrite=1
Time=35000 ps: PC=0x0004, Instr=0x1298, $1=0x0005, $2=0x0007, $3=0x0000, RegWrite=1
Time=45000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=55000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=65000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=75000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=85000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=95000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=105000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=115000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=125000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=135000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=145000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=155000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=165000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=175000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=185000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=195000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=205000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=215000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
Time=225000 ps: PC=0x0006, Instr=0xf000, $1=0x0005, $2=0x0007, $3=0x000c, RegWrite=0
